"conversation_id_str","lang","full_text"
"1731974001801810075","in","@arifin34533 @reza_nukleuz Di potcast² dia jelasin koq mas, sarung tangan tsb digunakan karena kebiasaan Seno sejak terlibat aktif menjadi relawan penanggulangan Covid - 19 di Surabaya."
"1731864307640729785","en","4-20-2023:  Surabaya, Indonesia:
""We studied our first-ever case of COVID-19-associated, acute invasive fungal rhinosinusitis in Indonesia.
The risk of developing this disease is greatly increased by
*COVID-19 infection
*Corticosteroid use
*Antibiotic use""
https://t.co/Tks0uxoFMY"
"1731684506078228874","in","Plissss lah
Masa w ke surabaya pas covid mulu dah"
"1731677766074925248","en","This was a fuel stop in Surabaya, Indonesia - three years ago.

We delivered this aircraft from the UK to Auckland in New Zealand during 'peak COVID'.

#AircraftDelivery #FerryPilot #Embraer #Phenom100 #WARR https://t.co/G5piZjqp4v"
"1731241963033358710","in","@dayroraxy @Widino Mutiara yang enak di keluarga. Btw, bakpia tugu, lapis pahlawan Surabaya, bolu susu kembang Bandung dkk itu pnya omset hampir -l 1 Triliun sebelum covid 19."
"1731302651290390978","in","Profil Doni Monardo, Mantan Kepala BNPB dan Ketua Satgas Covid-19 yang Meninggal Dunia
#DoniMonardo 
#BNPB #SatgasCovid19
#RIP #viral
https://t.co/GF9TZ9mZHg"
"1731301887755075865","in","Doni Monardo Mantan Ketua Satgas Covid-19 Berpulang pada Minggu Petang
https://t.co/yYiQoLytnA"
"1730227915432841520","in","BI sebut QRIS Selamatkan Indonesia dari Krisis Saat Pandemi Covid-19
https://t.co/xMg2pHYQVb"
"1730088050611650691","in","@kompascom Buanyak sekali usia 40 an yg pengangguran setelah covid,f Surabaya banyak.
SAMPAI ada yg setres bunuh diri jg, pemerintahan harus hadir turun tangan mengatasi hal ini,terutama d Surabaya, banyak pengangguran krn d batasi oleh usia"
"1729686908815528152","in","@Aditya5803 @widodo_naufal @Goldmind_82 Tapi hasilnya bagus dan konsisten kan. Walaupun tergebrak gara2 covid, tapi pertandingan tetap jalan (setidaknya region jatim di GOR Pancasila waktu itu). Terus sekarang perlahan naik kembali ke peak awalnya. Bahkan tiket Final Surabaya tempo hari aja ludes dalam waktu 3 menit."
"1729401854306775505","in","@mawakresna @widiguruh @gibran_tweet - Kota Solo adalah kota dgn pertumbuhan tertinggi 2022 selain batam dan surabaya.
-  Di provinsi jawa tengah tahun 2022 solo tertinggi no 1
- Betul soal umkm, karena daerah lain program yg telah berjalan sejak sebelum covid melanda.
- Betul ada kota lain selain solo yg lbh tinggi"
"1728707487514435798","in","@FiersaBesari 2 tahun lalu dunia bener2 runtuh kakak laki2ku meninggal krn covid, tgl 21 kemarin adikku laki2 meninggal kecelakaan trailer di surabaya kepala pecah tulang rusuk hancur tangan putus dan meninggalkan anak umur 11 bulan Apalagi yg bisa buat semangat kerja dan hidupku bang"
"1728639427482972448","in","mall kios masih tutup kosong sepi, harga beras cabe skrg naik ..
tapi Jokowi klaim Ekonomi Indonesia Telah Pulih dr Pandemi Covid-19, matavisi nya dah mentok gak spt awal2 jd presiden https://t.co/UbaIYcLDfu
KiniSongsong pemimpin sederhana Ganjar Mahfud
Manado Solo Poso Surabaya"
