lang,full_text,processed_text,word_tokens,word_weights,polarity_score
in,"@arifin34533 @reza_nukleuz Di potcast² dia jelasin koq mas, sarung tangan tsb digunakan karena kebiasaan Seno sejak terlibat aktif menjadi relawan penanggulangan Covid - 19 di Surabaya.",potcast jelasin koq ma sarung tangan tsb kebiasaan seno terlibat aktif relawan penanggulangan covid 19 surabaya ,"['potcast', 'jelasin', 'koq', 'ma', 'sarung', 'tangan', 'tsb', 'kebiasaan', 'seno', 'terlibat', 'aktif', 'relawan', 'penanggulangan', 'covid', '19', 'surabaya']","[0, 0, 0, 0, '-3', '1', 0, 0, 0, '3', '2', 0, '2', 0, 0, 0]",5
in,"Plissss lah
Masa w ke surabaya pas covid mulu dah",pliss surabaya pa covid mulu dah ,"['pliss', 'surabaya', 'pa', 'covid', 'mulu', 'dah']","[0, 0, '-5', 0, '2', '-3']",-6
in,"@dayroraxy @Widino Mutiara yang enak di keluarga. Btw, bakpia tugu, lapis pahlawan Surabaya, bolu susu kembang Bandung dkk itu pnya omset hampir -l 1 Triliun sebelum covid 19.",mutiara enak keluarga btw bakpia tugu lapis pahlawan surabaya bolu susu kembang bandung dkk pnya omset triliun covid 19 ,"['mutiara', 'enak', 'keluarga', 'btw', 'bakpia', 'tugu', 'lapis', 'pahlawan', 'surabaya', 'bolu', 'susu', 'kembang', 'bandung', 'dkk', 'pnya', 'omset', 'triliun', 'covid', '19']","[0, '5', '4', 0, 0, 0, 0, 0, 0, 0, '-4', '3', '-1', 0, 0, 0, 0, 0, 0]",7
in,"Profil Doni Monardo, Mantan Kepala BNPB dan Ketua Satgas Covid-19 yang Meninggal Dunia
#DoniMonardo 
#BNPB #SatgasCovid19
#RIP #viral
https://t.co/GF9TZ9mZHg",profil doni monardo mantan kepala bnpb ketua satgas covid 19 meninggal dunia donimonardo bnpb satgascovid19 rip viral ,"['profil', 'doni', 'monardo', 'mantan', 'kepala', 'bnpb', 'ketua', 'satgas', 'covid', '19', 'meninggal', 'dunia', 'donimonardo', 'bnpb', 'satgascovid19', 'rip', 'viral']","[0, 0, 0, '-3', 0, 0, 0, 0, 0, 0, '-4', '1', 0, 0, 0, '-5', 0]",-11
in,"Doni Monardo Mantan Ketua Satgas Covid-19 Berpulang pada Minggu Petang
https://t.co/yYiQoLytnA",doni monardo mantan ketua satgas covid 19 berpulang minggu petang ,"['doni', 'monardo', 'mantan', 'ketua', 'satgas', 'covid', '19', 'berpulang', 'minggu', 'petang']","[0, 0, '-3', 0, 0, 0, 0, 0, 0, 0]",-3
in,"BI sebut QRIS Selamatkan Indonesia dari Krisis Saat Pandemi Covid-19
https://t.co/xMg2pHYQVb",bi qris selamatkan indonesia krisis pandemi covid 19 ,"['bi', 'qris', 'selamatkan', 'indonesia', 'krisis', 'pandemi', 'covid', '19']","[0, 0, 0, 0, '-4', '-5', 0, 0]",-9
in,"@kompascom Buanyak sekali usia 40 an yg pengangguran setelah covid,f Surabaya banyak.
SAMPAI ada yg setres bunuh diri jg, pemerintahan harus hadir turun tangan mengatasi hal ini,terutama d Surabaya, banyak pengangguran krn d batasi oleh usia",buanyak usia 40 an yg pengangguran covid surabaya yg setres bunuh jg pemerintahan hadir turun tangan mengatasi surabaya pengangguran krn batasi usia ,"['buanyak', 'usia', '40', 'an', 'yg', 'pengangguran', 'covid', 'surabaya', 'yg', 'setres', 'bunuh', 'jg', 'pemerintahan', 'hadir', 'turun', 'tangan', 'mengatasi', 'surabaya', 'pengangguran', 'krn', 'batasi', 'usia']","[0, 0, 0, 0, 0, '-4', 0, 0, 0, 0, '-5', 0, 0, '2', '1', '1', 0, 0, '-4', 0, 0, 0]",-9
in,"@Aditya5803 @widodo_naufal @Goldmind_82 Tapi hasilnya bagus dan konsisten kan. Walaupun tergebrak gara2 covid, tapi pertandingan tetap jalan (setidaknya region jatim di GOR Pancasila waktu itu). Terus sekarang perlahan naik kembali ke peak awalnya. Bahkan tiket Final Surabaya tempo hari aja ludes dalam waktu 3 menit.",hasilnya bagus konsisten tergebrak gara2 covid pertandingan jalan region jatim gor pancasila perlahan peak tiket final surabaya tempo aja ludes menit ,"['hasilnya', 'bagus', 'konsisten', 'tergebrak', 'gara2', 'covid', 'pertandingan', 'jalan', 'region', 'jatim', 'gor', 'pancasila', 'perlahan', 'peak', 'tiket', 'final', 'surabaya', 'tempo', 'aja', 'ludes', 'menit']","[0, '2', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, '3', 0, '1', '1', '-5', 0]",2
in,"@mawakresna @widiguruh @gibran_tweet - Kota Solo adalah kota dgn pertumbuhan tertinggi 2022 selain batam dan surabaya.
-  Di provinsi jawa tengah tahun 2022 solo tertinggi no 1
- Betul soal umkm, karena daerah lain program yg telah berjalan sejak sebelum covid melanda.
- Betul ada kota lain selain solo yg lbh tinggi",kota solo kota dgn pertumbuhan tertinggi 2022 batam surabaya provinsi jawa 2022 solo tertinggi no umkm daerah program yg berjalan covid melanda kota solo yg lbh ,"['kota', 'solo', 'kota', 'dgn', 'pertumbuhan', 'tertinggi', '2022', 'batam', 'surabaya', 'provinsi', 'jawa', '2022', 'solo', 'tertinggi', 'no', 'umkm', 'daerah', 'program', 'yg', 'berjalan', 'covid', 'melanda', 'kota', 'solo', 'yg', 'lbh']","['-1', '2', '-1', 0, 0, '3', 0, 0, 0, 0, 0, 0, '2', '3', 0, 0, 0, 0, 0, 0, 0, 0, '-1', '2', 0, 0]",9
in,"@FiersaBesari 2 tahun lalu dunia bener2 runtuh kakak laki2ku meninggal krn covid, tgl 21 kemarin adikku laki2 meninggal kecelakaan trailer di surabaya kepala pecah tulang rusuk hancur tangan putus dan meninggalkan anak umur 11 bulan Apalagi yg bisa buat semangat kerja dan hidupku bang",dunia bener2 runtuh kakak laki2ku meninggal krn covid tgl 21 kemarin adikku laki2 meninggal kecelakaan trailer surabaya kepala pecah tulang rusuk hancur tangan putus meninggalkan anak umur 11 yg semangat kerja hidupku bang ,"['dunia', 'bener2', 'runtuh', 'kakak', 'laki2ku', 'meninggal', 'krn', 'covid', 'tgl', '21', 'kemarin', 'adikku', 'laki2', 'meninggal', 'kecelakaan', 'trailer', 'surabaya', 'kepala', 'pecah', 'tulang', 'rusuk', 'hancur', 'tangan', 'putus', 'meninggalkan', 'anak', 'umur', '11', 'yg', 'semangat', 'kerja', 'hidupku', 'bang']","['1', 0, '-5', 0, 0, '-4', 0, 0, 0, 0, 0, 0, 0, '-4', '-5', 0, 0, 0, 0, '2', '-4', 0, '1', '3', '-4', '-3', '4', 0, 0, '4', '2', 0, 0]",-12
